March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
120.072  44.683
120.145  44.632
120.159  44.585
120.294  44.500
120.283  44.474
120.318  44.455
120.308  44.411
120.374  44.385
120.379  44.338
120.437  44.305
120.448  44.257
120.489  44.243
120.618  44.245
120.618  44.245
120.718  44.151
120.734  44.084
120.679  44.061
120.713  44.013
2  5      1  8421504       1   65535  000 000
121.535  44.028
121.563  44.008
6  5      1  8421504       1   65535  000 000
118.301  44.283
118.301  44.203
118.350  44.088
118.386  44.045
118.470  44.027
118.502  44.001
3  5      1  8421504       1   65535  000 000
117.583  44.021
117.623  44.021
117.662  44.001
13  5      1  8421504       1   65535  000 000
115.339  44.573
115.342  44.518
115.428  44.400
115.456  44.322
115.512  44.278
115.552  44.279
115.552  44.279
115.530  44.185
115.443  44.093
115.410  44.097
115.410  44.097
115.347  44.053
115.325  44.001
19  5      1  8421504       1   65535  000 000
119.149  44.779
119.206  44.773
119.245  44.744
119.294  44.769
119.441  44.791
119.441  44.791
119.477  44.768
119.468  44.701
119.504  44.633
119.493  44.592
119.538  44.553
119.560  44.471
119.596  44.435
119.560  44.427
119.525  44.327
119.585  44.194
119.632  44.153
119.613  44.076
119.665  44.001
13  5      1  8421504       1   65535  000 000
116.520  44.529
116.348  44.419
116.306  44.353
116.349  44.317
116.491  44.324
116.491  44.324
116.539  44.267
116.610  44.247
116.619  44.168
116.725  44.169
116.725  44.169
116.738  44.064
116.811  44.001
2  5      1  8421504       1   65535  000 000
114.000  44.199
114.199  44.001
7  5      1  8421504       1   65535  000 000
117.584  44.105
117.390  44.130
117.358  44.156
117.358  44.156
117.307  44.125
117.259  44.043
117.134  44.001
6  5      1  8421504       1   65535  000 000
118.710  44.277
118.821  44.211
118.861  44.116
118.851  44.081
118.912  44.072
118.930  44.000
2  5      1  8421504       1   65535  000 000
121.060  44.021
121.090  44.000
3  5      1  8421504       1   65535  000 000
117.134  44.001
116.945  43.972
116.958  43.929
5  5      1  8421504       1   65535  000 000
116.811  44.001
116.814  43.943
116.874  43.965
116.874  43.965
116.958  43.929
10  5      1  8421504       1   65535  000 000
118.502  44.001
118.522  43.963
118.319  43.966
118.319  43.966
118.260  43.933
118.264  43.963
118.222  43.979
118.222  43.979
118.198  43.953
118.239  43.907
2  5      1  8421504       1   65535  000 000
122.854  43.824
122.904  43.808
4  5      1  8421504       1   65535  000 000
122.772  43.805
122.799  43.825
122.799  43.825
122.854  43.824
2  5      1  8421504       1   65535  000 000
122.709  43.817
122.772  43.805
2  5      1  8421504       1   65535  000 000
122.904  43.808
122.941  43.804
5  5      1  8421504       1   65535  000 000
121.563  44.008
121.567  43.949
121.670  43.905
121.690  43.821
121.791  43.797
5  5      1  8421504       1   65535  000 000
121.090  44.000
121.086  43.918
121.112  43.841
120.942  43.790
120.849  43.788
4  5      1  8421504       1   65535  000 000
120.713  44.013
120.768  43.921
120.813  43.891
120.849  43.788
4  5      1  8421504       1   65535  000 000
111.968  43.744
112.081  43.763
112.081  43.763
112.110  43.728
3  5      1  8421504       1   65535  000 000
122.941  43.804
123.005  43.758
122.993  43.696
24  5      1  8421504       1   65535  000 000
121.791  43.797
121.904  43.794
121.933  43.761
122.044  43.753
122.060  43.698
122.080  43.695
122.135  43.713
122.130  43.742
122.130  43.742
122.155  43.742
122.173  43.815
122.173  43.815
122.216  43.812
122.262  43.854
122.349  43.875
122.465  43.947
122.465  43.947
122.542  43.938
122.603  43.951
122.603  43.951
122.636  43.933
122.580  43.889
122.577  43.824
122.709  43.817
7  5      1  8421504       1   65535  000 000
119.665  44.001
119.730  43.938
119.733  43.883
119.795  43.820
119.687  43.720
119.717  43.643
119.654  43.632
16  5      1  8421504       1   65535  000 000
118.930  44.000
118.920  43.933
119.015  43.910
119.082  43.859
